iter	Logloss
0	0.6868409825
1	0.680678624
2	0.6746353185
3	0.6688890878
4	0.662952306
5	0.6573116837
6	0.6515609952
7	0.6461461168
8	0.6407026484
9	0.635256071
10	0.63030917
11	0.6252328957
12	0.6202643883
13	0.615189691
14	0.6101931871
15	0.6052747627
16	0.6006649386
17	0.5959179699
18	0.5912658961
19	0.5867832643
20	0.5822526687
21	0.5778020947
22	0.5734467946
23	0.5692835044
24	0.5652243505
25	0.5612316939
26	0.5573614296
27	0.5533346071
28	0.5499604309
29	0.5460906226
30	0.5422375502
31	0.5385418001
32	0.5349293046
33	0.5312061529
34	0.5276705781
35	0.5244477966
36	0.5209153187
37	0.5174073341
38	0.5140354658
39	0.5105966341
40	0.5074132156
41	0.5041892252
42	0.501133043
43	0.4978965926
44	0.4947872896
45	0.4917678983
46	0.4889208197
47	0.4860543584
48	0.4832215422
49	0.4803289105
