iter	Passed	Remaining
0	12	12241
1	21	10911
2	31	10453
3	41	10254
4	51	10314
5	61	10200
6	71	10079
7	80	10005
8	90	9942
9	100	9907
10	110	9901
11	120	9947
12	130	9908
13	140	9917
14	156	10297
15	166	10255
16	175	10163
17	186	10172
18	196	10141
19	206	10117
20	217	10116
21	228	10173
22	239	10184
23	249	10158
24	260	10143
25	269	10093
26	280	10114
27	291	10113
28	301	10083
29	310	10052
30	320	10010
31	330	9996
32	340	9971
33	351	9978
34	360	9951
35	370	9920
36	380	9910
37	391	9907
38	402	9906
39	412	9891
40	421	9851
41	432	9858
42	441	9835
43	452	9833
44	462	9815
45	472	9802
46	482	9788
47	493	9785
48	502	9761
49	512	9731
50	521	9704
51	531	9684
52	541	9678
53	550	9652
54	560	9627
55	569	9602
56	578	9577
57	588	9560
58	597	9526
59	606	9505
60	615	9475
61	625	9468
62	635	9455
63	646	9462
64	657	9458
65	668	9461
66	677	9440
67	687	9426
68	696	9402
69	707	9400
70	718	9401
71	727	9379
72	737	9370
73	746	9342
74	757	9340
75	767	9332
76	778	9331
77	789	9334
78	799	9324
79	808	9301
80	819	9296
81	829	9286
82	841	9291
83	852	9292
84	863	9298
85	874	9297
86	885	9297
87	896	9288
88	905	9272
89	916	9268
90	926	9256
91	938	9257
92	955	9320
93	965	9308
94	975	9295
95	985	9281
96	996	9272
97	1005	9251
98	1014	9233
99	1024	9219
100	1034	9204
101	1044	9195
102	1054	9185
103	1066	9184
104	1077	9180
105	1087	9168
106	1098	9166
107	1108	9157
108	1118	9140
109	1128	9127
110	1136	9104
111	1146	9093
112	1156	9081
113	1164	9047
114	1175	9044
115	1184	9026
116	1195	9019
117	1205	9009
118	1214	8991
119	1224	8977
120	1232	8955
121	1242	8941
122	1252	8929
123	1263	8922
124	1273	8913
125	1284	8907
126	1295	8906
127	1307	8907
128	1320	8913
129	1331	8912
130	1344	8919
131	1356	8919
132	1367	8916
133	1379	8915
134	1391	8914
135	1402	8907
136	1412	8899
137	1423	8891
138	1434	8887
139	1445	8877
140	1456	8873
141	1467	8867
142	1479	8864
143	1490	8858
144	1500	8849
145	1511	8842
146	1522	8836
147	1534	8832
148	1544	8822
149	1561	8847
150	1572	8840
151	1584	8838
152	1594	8828
153	1605	8817
154	1615	8808
155	1627	8803
156	1636	8788
157	1646	8776
158	1656	8763
159	1667	8754
160	1678	8746
161	1688	8733
162	1699	8726
163	1710	8718
164	1720	8708
165	1731	8699
166	1742	8689
167	1752	8678
168	1764	8674
169	1773	8660
170	1783	8647
171	1794	8636
172	1803	8621
173	1813	8609
174	1824	8600
175	1833	8585
176	1843	8573
177	1853	8558
178	1863	8545
179	1874	8540
